Solving with SCIP 8.1.0 [LP solver: Glop 9.9]
Total makespan = 37.0
z 1 27 1 0.0
z 1 27 2 0.0
z 1 27 3 0.0
z 1 28 0 0.0
z 1 28 1 0.0
z 1 28 2 0.0
z 1 28 3 0.0
z 1 29 0 0.0
z 1 29 1 0.0
z 1 29 2 0.0
z 1 29 3 0.0
z 1 30 0 0.0
z 1 30 1 0.0
z 1 30 2 0.0
z 1 30 3 0.0
z 1 31 0 0.0
z 1 31 1 0.0
z 1 31 2 0.0
z 1 31 3 0.0
z 1 32 0 0.0
z 1 32 1 0.0
z 1 32 2 0.0
z 1 32 3 0.0
z 1 33 0 0.0
z 1 33 1 0.0
z 1 33 2 0.0
z 1 33 3 0.0
z 1 34 0 0.0
z 1 34 1 0.0
z 1 34 2 0.0
z 1 34 3 0.0
z 1 35 0 0.0
z 1 35 1 0.0
z 1 35 2 0.0
z 1 35 3 0.0
z 1 36 0 0.0
z 1 36 1 0.0
z 1 36 2 0.0
z 1 36 3 0.0
z 1 37 0 0.0
z 1 37 1 0.0
z 1 37 2 0.0
z 1 37 3 0.0
z 1 38 0 0.0
z 1 38 1 0.0
z 1 38 2 0.0
z 1 38 3 0.0
z 1 39 0 0.0
z 1 39 1 0.0
z 1 39 2 0.0
z 1 39 3 0.0
z 1 40 0 0.0
z 1 40 1 0.0
z 1 40 2 0.0
z 1 40 3 0.0
z 1 41 0 0.0
z 1 41 1 0.0
z 1 41 2 0.0
z 1 41 3 0.0
z 1 42 0 0.0
z 1 42 1 0.0
z 1 42 2 0.0
z 1 42 3 0.0
z 1 43 0 0.0
z 1 43 1 0.0
z 1 43 2 0.0
z 1 43 3 0.0
z 1 44 0 0.0
z 1 44 1 0.0
z 1 44 2 0.0
z 1 44 3 0.0
z 1 45 0 0.0
z 1 45 1 0.0
z 1 45 2 0.0
z 1 45 3 0.0
z 1 46 0 0.0
z 1 46 1 0.0
z 1 46 2 0.0
z 1 46 3 0.0
z 1 47 0 0.0
z 1 47 1 0.0
z 1 47 2 0.0
z 1 47 3 0.0
z 1 48 0 0.0
z 1 48 1 0.0
z 1 48 2 0.0
z 1 48 3 0.0
z 1 49 0 0.0
z 1 49 1 0.0
z 1 49 2 0.0
z 1 49 3 0.0
z 2 0 0 0.0
z 2 0 1 0.0
z 2 0 2 0.0
z 2 0 3 0.0
z 2 1 0 0.0
z 2 1 1 0.0
z 2 1 2 0.0
z 2 1 3 0.0
z 2 2 0 0.0
z 2 2 1 0.0
z 2 2 2 0.0
z 2 2 3 0.0
z 2 3 0 0.0
z 2 3 1 0.0
z 2 3 2 0.0
z 2 3 3 0.0
z 2 4 0 0.0
z 2 4 1 0.0
z 2 4 2 0.0
z 2 4 3 0.0
z 2 5 0 0.0
z 2 5 1 0.0
z 2 5 2 0.0
z 2 5 3 0.0
z 2 6 0 0.0
z 2 6 1 0.0
z 2 6 2 0.0
z 2 6 3 0.0
z 2 7 0 0.0
z 2 7 1 0.0
z 2 7 2 0.0
z 2 7 3 0.0
z 2 8 0 0.0
z 2 8 1 0.0
z 2 8 2 0.0
z 2 8 3 0.0
z 2 9 0 0.0
z 2 9 1 0.0
z 2 9 2 0.0
z 2 9 3 0.0
z 2 10 0 0.0
z 2 10 1 0.0
z 2 10 2 0.0
z 2 10 3 0.0
z 2 11 0 0.0
z 2 11 1 0.0
z 2 11 2 0.0
z 2 11 3 0.0
z 2 12 0 0.0
z 2 12 1 0.0
z 2 12 2 0.0
z 2 12 3 0.0
z 2 13 0 0.0
z 2 13 1 0.0
z 2 13 2 0.0
z 2 13 3 0.0
z 2 14 0 0.0
z 2 14 1 0.0
z 2 14 2 0.0
z 2 14 3 0.0
z 2 15 0 0.0
z 2 15 1 0.0
z 2 15 2 0.0
z 2 15 3 0.0
z 2 16 0 0.0
z 2 16 1 0.0
z 2 16 2 0.0
z 2 16 3 0.0
z 2 17 0 0.0
z 2 17 1 0.0
z 2 17 2 0.0
z 2 17 3 0.0
z 2 18 0 0.0
z 2 18 1 0.0
z 2 18 2 0.0
z 2 18 3 0.0
z 2 19 0 0.0
z 2 19 1 0.0
z 2 19 2 0.0
z 2 19 3 0.0
z 2 20 0 0.0
z 2 20 1 0.0
z 2 20 2 0.0
z 2 20 3 0.0
z 2 21 0 0.0
z 2 21 1 0.0
z 2 21 2 0.0
z 2 21 3 0.0
z 2 22 0 0.0
z 2 22 1 0.0
z 2 22 2 0.0
z 2 22 3 0.0
z 2 23 0 0.0
z 2 23 1 0.0
z 2 23 2 0.0
z 2 23 3 0.0
z 2 24 0 0.0
z 2 24 1 0.0
z 2 24 2 0.0
z 2 24 3 0.0
z 2 25 0 0.0
z 2 25 1 0.0
z 2 25 2 0.0
z 2 25 3 0.0
z 2 26 0 0.0
z 2 26 1 0.0
z 2 26 2 0.0
z 2 26 3 0.0
z 2 27 0 0.0
z 2 27 1 0.0
z 2 27 2 0.0
z 2 27 3 0.0
z 2 28 0 0.0
z 2 28 1 0.0
z 2 28 2 0.0
z 2 28 3 0.0
z 2 29 0 0.0
z 2 29 1 0.0
z 2 29 2 0.0
z 2 29 3 0.0
z 2 30 0 0.0
z 2 30 1 0.0
z 2 30 2 0.0
z 2 30 3 0.0
z 2 31 0 0.0
z 2 31 1 0.0
z 2 31 2 0.0
z 2 31 3 0.0
z 2 32 0 0.0
z 2 32 1 0.0
z 2 32 2 0.0
z 2 32 3 0.0
z 2 33 0 0.0
z 2 33 1 0.0
z 2 33 2 0.0
z 2 33 3 0.0
z 2 34 0 0.0
z 2 34 1 0.0
z 2 34 2 0.0
z 2 34 3 0.0
z 2 35 0 0.0
z 2 35 1 0.0
z 2 35 2 0.0
z 2 35 3 0.0
z 2 36 0 0.0
z 2 36 1 0.0
z 2 36 2 0.0
z 2 36 3 0.0
z 2 37 0 0.0
z 2 37 1 0.0
z 2 37 2 0.0
z 2 37 3 0.0
z 2 38 0 0.0
z 2 38 1 0.0
z 2 38 2 0.0
z 2 38 3 0.0
z 2 39 0 0.0
z 2 39 1 0.0
z 2 39 2 0.0
z 2 39 3 0.0
z 2 40 0 0.0
z 2 40 1 0.0
z 2 40 2 0.0
z 2 40 3 0.0
z 2 41 0 0.0
z 2 41 1 0.0
z 2 41 2 0.0
z 2 41 3 0.0
z 2 42 0 0.0
z 2 42 1 0.0
z 2 42 2 0.0
z 2 42 3 0.0
z 2 43 0 0.0
z 2 43 1 0.0
z 2 43 2 0.0
z 2 43 3 0.0
z 2 44 0 0.0
z 2 44 1 0.0
z 2 44 2 0.0
z 2 44 3 0.0
z 2 45 0 0.0
z 2 45 1 0.0
z 2 45 2 0.0
z 2 45 3 0.0
z 2 46 0 0.0
z 2 46 1 0.0
z 2 46 2 0.0
z 2 46 3 0.0
z 2 47 0 0.0
z 2 47 1 0.0
z 2 47 2 0.0
z 2 47 3 0.0
z 2 48 0 0.0
z 2 48 1 0.0
z 2 48 2 0.0
z 2 48 3 0.0
z 2 49 0 0.0
z 2 49 1 0.0
z 2 49 2 0.0
z 2 49 3 0.0
z 3 0 0 0.0
z 3 0 1 0.0
z 3 0 2 0.0
z 3 0 3 0.0
z 3 1 0 0.0
z 3 1 1 0.0
z 3 1 2 0.0
z 3 1 3 0.0
z 3 2 0 0.0
z 3 2 1 0.0
z 3 2 2 0.0
z 3 2 3 0.0
z 3 3 0 0.0
z 3 3 1 0.0
z 3 3 2 0.0
z 3 3 3 0.0
z 3 4 0 0.0
z 3 4 1 0.0
z 3 4 2 0.0
z 3 4 3 0.0
z 3 5 0 0.0
z 3 5 1 0.0
z 3 5 2 0.0
z 3 5 3 0.0
z 3 6 0 0.0
z 3 6 1 0.0
z 3 6 2 0.0
z 3 6 3 0.0
z 3 7 0 0.0
z 3 7 1 0.0
z 3 7 2 0.0
z 3 7 3 0.0
z 3 8 0 0.0
z 3 8 1 0.0
z 3 8 2 0.0
z 3 8 3 0.0
z 3 9 0 0.0
z 3 9 1 0.0
z 3 9 2 0.0
z 3 9 3 0.0
z 3 10 0 0.0
z 3 10 1 0.0
z 3 10 2 0.0
z 3 10 3 0.0
z 3 11 0 0.0
z 3 11 1 0.0
z 3 11 2 0.0
z 3 11 3 0.0
z 3 12 0 0.0
z 3 12 1 0.0
z 3 12 2 0.0
z 3 12 3 0.0
z 3 13 0 0.0
z 3 13 1 0.0
z 3 13 2 0.0
z 3 13 3 0.0
z 3 14 0 0.0
z 3 14 1 0.0
z 3 14 2 0.0
z 3 14 3 0.0
z 3 15 0 0.0
z 3 15 1 0.0
z 3 15 2 0.0
z 3 15 3 0.0
z 3 16 0 0.0
z 3 16 1 0.0
z 3 16 2 0.0
z 3 16 3 0.0
z 3 17 0 0.0
z 3 17 1 0.0
z 3 17 2 0.0
z 3 17 3 0.0
z 3 18 0 0.0
z 3 18 1 0.0
z 3 18 2 0.0
z 3 18 3 0.0
z 3 19 0 0.0
z 3 19 1 0.0
z 3 19 2 0.0
z 3 19 3 0.0
z 3 20 0 0.0
z 3 20 1 0.0
z 3 20 2 0.0
z 3 20 3 0.0
z 3 21 0 0.0
z 3 21 1 0.0
z 3 21 2 0.0
z 3 21 3 0.0
z 3 22 0 0.0
z 3 22 1 0.0
z 3 22 2 0.0
z 3 22 3 0.0
z 3 23 0 0.0
z 3 23 1 0.0
z 3 23 2 0.0
z 3 23 3 0.0
z 3 24 0 0.0
z 3 24 1 0.0
z 3 24 2 0.0
z 3 24 3 0.0
z 3 25 0 0.0
z 3 25 1 0.0
z 3 25 2 0.0
z 3 25 3 0.0
z 3 26 0 0.0
z 3 26 1 0.0
z 3 26 2 0.0
z 3 26 3 0.0
z 3 27 0 0.0
z 3 27 1 0.0
z 3 27 2 0.0
z 3 27 3 0.0
z 3 28 0 0.0
z 3 28 1 0.0
z 3 28 2 0.0
z 3 28 3 0.0
z 3 29 0 0.0
z 3 29 1 0.0
z 3 29 2 0.0
z 3 29 3 0.0
z 3 30 0 0.0
z 3 30 1 0.0
z 3 30 2 0.0
z 3 30 3 0.0
z 3 31 0 0.0
z 3 31 1 0.0
z 3 31 2 0.0
z 3 31 3 0.0
z 3 32 0 0.0
z 3 32 1 0.0
z 3 32 2 0.0
z 3 32 3 0.0
z 3 33 0 0.0
z 3 33 1 0.0
z 3 33 2 0.0
z 3 33 3 0.0
z 3 34 0 0.0
z 3 34 1 0.0
z 3 34 2 0.0
z 3 34 3 0.0
z 3 35 0 0.0
z 3 35 1 0.0
z 3 35 2 0.0
z 3 35 3 0.0
z 3 36 0 0.0
z 3 36 1 0.0
z 3 36 2 0.0
z 3 36 3 0.0
z 3 37 0 0.0
z 3 37 1 0.0
z 3 37 2 0.0
z 3 37 3 0.0
z 3 38 0 0.0
z 3 38 1 0.0
z 3 38 2 0.0
z 3 38 3 0.0
z 3 39 0 0.0
z 3 39 1 0.0
z 3 39 2 0.0
z 3 39 3 0.0
z 3 40 0 0.0
z 3 40 1 0.0
z 3 40 2 0.0
z 3 40 3 0.0
z 3 41 0 0.0
z 3 41 1 0.0
z 3 41 2 0.0
z 3 41 3 0.0
z 3 42 0 0.0
z 3 42 1 0.0
z 3 42 2 0.0
z 3 42 3 0.0
z 3 43 0 0.0
z 3 43 1 0.0
z 3 43 2 0.0
z 3 43 3 0.0
z 3 44 0 0.0
z 3 44 1 0.0
z 3 44 2 0.0
z 3 44 3 0.0
z 3 45 0 0.0
z 3 45 1 0.0
z 3 45 2 0.0
z 3 45 3 0.0
z 3 46 0 0.0
z 3 46 1 0.0
z 3 46 2 0.0
z 3 46 3 0.0
z 3 47 0 0.0
z 3 47 1 0.0
z 3 47 2 0.0
z 3 47 3 0.0
z 3 48 0 0.0
z 3 48 1 0.0
z 3 48 2 0.0
z 3 48 3 0.0
z 3 49 0 0.0
z 3 49 1 0.0
z 3 49 2 0.0
z 3 49 3 0.0
z 4 0 0 0.0
z 4 0 1 0.0
z 4 0 2 0.0
z 4 0 3 0.0
z 4 1 0 0.0
z 4 1 1 0.0
z 4 1 2 0.0
z 4 1 3 0.0
z 4 2 0 0.0
z 4 2 1 0.0
z 4 2 2 0.0
z 4 2 3 0.0
z 4 3 0 0.0
z 4 3 1 0.0
z 4 3 2 0.0
z 4 3 3 0.0
z 4 4 0 0.0
z 4 4 1 0.0
z 4 4 2 0.0
z 4 4 3 0.0
z 4 5 0 0.0
z 4 5 1 0.0
z 4 5 2 0.0
z 4 5 3 0.0
z 4 6 0 0.0
z 4 6 1 0.0
z 4 6 2 0.0
z 4 6 3 0.0
z 4 7 0 0.0
z 4 7 1 0.0
z 4 7 2 0.0
z 4 7 3 0.0
z 4 8 0 0.0
z 4 8 1 0.0
z 4 8 2 0.0
z 4 8 3 0.0
z 4 9 0 0.0
z 4 9 1 0.0
z 4 9 2 0.0
z 4 9 3 0.0
z 4 10 0 0.0
z 4 10 1 0.0
z 4 10 2 0.0
z 4 10 3 0.0
z 4 11 0 0.0
z 4 11 1 0.0
z 4 11 2 0.0
z 4 11 3 0.0
z 4 12 0 0.0
z 4 12 1 0.0
z 4 12 2 0.0
z 4 12 3 0.0
z 4 13 0 0.0
z 4 13 1 0.0
z 4 13 2 0.0
z 4 13 3 0.0
z 4 14 0 0.0
z 4 14 1 0.0
z 4 14 2 0.0
z 4 14 3 0.0
z 4 15 0 0.0
z 4 15 1 0.0
z 4 15 2 0.0
z 4 15 3 0.0
z 4 16 0 0.0
z 4 16 1 0.0
z 4 16 2 0.0
z 4 16 3 0.0
z 4 17 0 0.0
z 4 17 1 0.0
z 4 17 2 0.0
z 4 17 3 0.0
z 4 18 0 0.0
z 4 18 1 0.0
z 4 18 2 0.0
z 4 18 3 0.0
z 4 19 0 0.0
z 4 19 1 0.0
z 4 19 2 0.0
z 4 19 3 0.0
z 4 20 0 0.0
z 4 20 1 0.0
z 4 20 2 0.0
z 4 20 3 0.0
z 4 21 0 0.0
z 4 21 1 0.0
z 4 21 2 0.0
z 4 21 3 0.0
z 4 22 0 0.0
z 4 22 1 0.0
z 4 22 2 0.0
z 4 22 3 0.0
z 4 23 0 0.0
z 4 23 1 0.0
z 4 23 2 0.0
z 4 23 3 0.0
z 4 24 0 0.0
z 4 24 1 0.0
z 4 24 2 0.0
z 4 24 3 0.0
z 4 25 0 0.0
z 4 25 1 0.0
z 4 25 2 0.0
z 4 25 3 0.0
z 4 26 0 0.0
z 4 26 1 0.0
z 4 26 2 0.0
z 4 26 3 0.0
z 4 27 0 0.0
z 4 27 1 0.0
z 4 27 2 0.0
z 4 27 3 0.0
z 4 28 0 0.0
z 4 28 1 0.0
z 4 28 2 0.0
z 4 28 3 0.0
z 4 29 0 0.0
z 4 29 1 0.0
z 4 29 2 0.0
z 4 29 3 0.0
z 4 30 0 0.0
z 4 30 1 0.0
z 4 30 2 0.0
z 4 30 3 0.0
z 4 31 0 0.0
z 4 31 1 0.0
z 4 31 2 0.0
z 4 31 3 0.0
z 4 32 0 0.0
z 4 32 1 0.0
z 4 32 2 0.0
z 4 32 3 0.0
z 4 33 0 0.0
z 4 33 1 0.0
z 4 33 2 0.0
z 4 33 3 0.0
z 4 34 0 0.0
z 4 34 1 0.0
z 4 34 2 0.0
z 4 34 3 0.0
z 4 35 0 0.0
z 4 35 1 0.0
z 4 35 2 0.0
z 4 35 3 0.0
z 4 36 0 0.0
z 4 36 1 0.0
z 4 36 2 0.0
z 4 36 3 0.0
z 4 37 0 0.0
z 4 37 1 0.0
z 4 37 2 0.0
z 4 37 3 0.0
z 4 38 0 0.0
z 4 38 1 0.0
z 4 38 2 0.0
z 4 38 3 0.0
z 4 39 0 0.0
z 4 39 1 0.0
z 4 39 2 0.0
z 4 39 3 0.0
z 4 40 0 0.0
z 4 40 1 0.0
z 4 40 2 0.0
z 4 40 3 0.0
z 4 41 0 0.0
z 4 41 1 0.0
z 4 41 2 0.0
z 4 41 3 0.0
z 4 42 0 0.0
z 4 42 1 0.0
z 4 42 2 0.0
z 4 42 3 0.0
z 4 43 0 0.0
z 4 43 1 0.0
z 4 43 2 0.0
z 4 43 3 0.0
z 4 44 0 0.0
z 4 44 1 0.0
z 4 44 2 0.0
z 4 44 3 0.0
z 4 45 0 0.0
z 4 45 1 0.0
z 4 45 2 0.0
z 4 45 3 0.0
z 4 46 0 0.0
z 4 46 1 0.0
z 4 46 2 0.0
z 4 46 3 0.0
z 4 47 0 0.0
z 4 47 1 0.0
z 4 47 2 0.0
z 4 47 3 0.0
z 4 48 0 0.0
z 4 48 1 0.0
z 4 48 2 0.0
z 4 48 3 0.0
z 4 49 0 0.0
z 4 49 1 0.0
z 4 49 2 0.0
z 4 49 3 0.0
z 5 0 0 0.0
z 5 0 1 0.0
z 5 0 2 0.0
z 5 0 3 0.0
z 5 1 0 0.0
z 5 1 1 0.0
z 5 1 2 0.0
z 5 1 3 0.0
z 5 2 0 0.0
z 5 2 1 0.0
z 5 2 2 0.0
z 5 2 3 0.0
z 5 3 0 0.0
z 5 3 1 0.0
z 5 3 2 0.0
z 5 3 3 0.0
z 5 4 0 0.0
z 5 4 1 0.0
z 5 4 2 0.0
z 5 4 3 0.0
z 5 5 0 0.0
z 5 5 1 0.0
z 5 5 2 0.0
z 5 5 3 0.0
z 5 6 0 0.0
z 5 6 1 0.0
z 5 6 2 0.0
z 5 6 3 0.0
z 5 7 0 0.0
z 5 7 1 0.0
z 5 7 2 0.0
z 5 7 3 0.0
z 5 8 0 0.0
z 5 8 1 0.0
z 5 8 2 0.0
z 5 8 3 0.0
z 5 9 0 0.0
z 5 9 1 0.0
z 5 9 2 0.0
z 5 9 3 0.0
z 5 10 0 0.0
z 5 10 1 0.0
z 5 10 2 0.0
z 5 10 3 0.0
z 5 11 0 0.0
z 5 11 1 0.0
z 5 11 2 0.0
z 5 11 3 0.0
z 5 12 0 0.0
z 5 12 1 0.0
z 5 12 2 0.0
z 5 12 3 0.0
z 5 13 0 0.0
z 5 13 1 0.0
z 5 13 2 0.0
z 5 13 3 0.0
z 5 14 0 0.0
z 5 14 1 0.0
z 5 14 2 0.0
z 5 14 3 0.0
z 5 15 0 0.0
z 5 15 1 0.0
z 5 15 2 0.0
z 5 15 3 0.0
z 5 16 0 0.0
z 5 16 1 0.0
z 5 16 2 0.0
z 5 16 3 0.0
z 5 17 0 0.0
z 5 17 1 0.0
z 5 17 2 0.0
z 5 17 3 0.0
z 5 18 0 0.0
z 5 18 1 0.0
z 5 18 2 0.0
z 5 18 3 0.0
z 5 19 0 0.0
z 5 19 1 0.0
z 5 19 2 0.0
z 5 19 3 0.0
z 5 20 0 0.0
z 5 20 1 0.0
z 5 20 2 0.0
z 5 20 3 0.0
z 5 21 0 0.0
z 5 21 1 0.0
z 5 21 2 0.0
z 5 21 3 0.0
z 5 22 0 0.0
z 5 22 1 0.0
z 5 22 2 0.0
z 5 22 3 0.0
z 5 23 0 0.0
z 5 23 1 0.0
z 5 23 2 0.0
z 5 23 3 0.0
z 5 24 0 0.0
z 5 24 1 0.0
z 5 24 2 0.0
z 5 24 3 0.0
z 5 25 0 0.0
z 5 25 1 0.0
z 5 25 2 0.0
z 5 25 3 0.0
z 5 26 0 0.0
z 5 26 1 0.0
z 5 26 2 0.0
z 5 26 3 0.0
z 5 27 0 0.0
z 5 27 1 0.0
z 5 27 2 0.0
z 5 27 3 0.0
z 5 28 0 0.0
z 5 28 1 0.0
z 5 28 2 0.0
z 5 28 3 0.0
z 5 29 0 0.0
z 5 29 1 0.0
z 5 29 2 0.0
z 5 29 3 0.0
z 5 30 0 0.0
z 5 30 1 0.0
z 5 30 2 0.0
z 5 30 3 0.0
z 5 31 0 0.0
z 5 31 1 0.0
z 5 31 2 0.0
z 5 31 3 0.0
z 5 32 0 0.0
z 5 32 1 0.0
z 5 32 2 0.0
z 5 32 3 0.0
z 5 33 0 0.0
z 5 33 1 0.0
z 5 33 2 0.0
z 5 33 3 0.0
z 5 34 0 0.0
z 5 34 1 0.0
z 5 34 2 0.0
z 5 34 3 0.0
z 5 35 0 0.0
z 5 35 1 0.0
z 5 35 2 0.0
z 5 35 3 0.0
z 5 36 0 0.0
z 5 36 1 0.0
z 5 36 2 0.0
z 5 36 3 0.0
z 5 37 0 0.0
z 5 37 1 0.0
z 5 37 2 0.0
z 5 37 3 0.0
z 5 38 0 0.0
z 5 38 1 0.0
z 5 38 2 0.0
z 5 38 3 0.0
z 5 39 0 0.0
z 5 39 1 0.0
z 5 39 2 0.0
z 5 39 3 0.0
z 5 40 0 0.0
z 5 40 1 0.0
z 5 40 2 0.0
z 5 40 3 0.0
z 5 41 0 0.0
z 5 41 1 0.0
z 5 41 2 0.0
z 5 41 3 0.0
z 5 42 0 0.0
z 5 42 1 0.0
z 5 42 2 0.0
z 5 42 3 0.0
z 5 43 0 0.0
z 5 43 1 0.0
z 5 43 2 0.0
z 5 43 3 0.0
z 5 44 0 0.0
z 5 44 1 0.0
z 5 44 2 0.0
z 5 44 3 0.0
z 5 45 0 0.0
z 5 45 1 0.0
z 5 45 2 0.0
z 5 45 3 0.0
z 5 46 0 0.0
z 5 46 1 0.0
z 5 46 2 0.0
z 5 46 3 0.0
z 5 47 0 0.0
z 5 47 1 0.0
z 5 47 2 0.0
z 5 47 3 0.0
z 5 48 0 0.0
z 5 48 1 0.0
z 5 48 2 0.0
z 5 48 3 0.0
z 5 49 0 0.0
z 5 49 1 0.0
z 5 49 2 0.0
z 5 49 3 0.0
z 6 0 0 0.0
z 6 0 1 0.0
z 6 0 2 0.0
z 6 0 3 0.0
z 6 1 0 0.0
z 6 1 1 0.0
z 6 1 2 0.0
z 6 1 3 0.0
z 6 2 0 0.0
z 6 2 1 0.0
z 6 2 2 0.0
z 6 2 3 0.0
z 6 3 0 0.0
z 6 3 1 0.0
z 6 3 2 0.0
z 6 3 3 0.0
z 6 4 0 0.0
z 6 4 1 0.0
z 6 4 2 0.0
z 6 4 3 0.0
z 6 5 0 0.0
z 6 5 1 0.0
z 6 5 2 0.0
z 6 5 3 0.0
z 6 6 0 0.0
z 6 6 1 0.0
z 6 6 2 0.0
z 6 6 3 0.0
z 6 7 0 0.0
z 6 7 1 0.0
z 6 7 2 0.0
z 6 7 3 0.0
z 6 8 0 0.0
z 6 8 1 0.0
z 6 8 2 0.0
z 6 8 3 0.0
z 6 9 0 0.0
z 6 9 1 0.0
z 6 9 2 0.0
z 6 9 3 0.0
z 6 10 0 0.0
z 6 10 1 0.0
z 6 10 2 0.0
z 6 10 3 0.0
z 6 11 0 0.0
z 6 11 1 0.0
z 6 11 2 0.0
z 6 11 3 0.0
z 6 12 0 0.0
z 6 12 1 0.0
z 6 12 2 0.0
z 6 12 3 0.0
z 6 13 0 0.0
z 6 13 1 0.0
z 6 13 2 0.0
z 6 13 3 0.0
z 6 14 0 0.0
z 6 14 1 0.0
z 6 14 2 0.0
z 6 14 3 0.0
z 6 15 0 0.0
z 6 15 1 0.0
z 6 15 2 0.0
z 6 15 3 0.0
z 6 16 0 0.0
z 6 16 1 0.0
z 6 16 2 0.0
z 6 16 3 0.0
z 6 17 0 0.0
z 6 17 1 0.0
z 6 17 2 0.0
z 6 17 3 0.0
z 6 18 0 0.0
z 6 18 1 0.0
z 6 18 2 0.0
z 6 18 3 0.0
z 6 19 0 0.0
z 6 19 1 0.0
z 6 19 2 0.0
z 6 19 3 0.0
z 6 20 0 0.0
z 6 20 1 0.0
z 6 20 2 0.0
z 6 20 3 0.0
z 6 21 0 0.0
z 6 21 1 0.0
z 6 21 2 0.0
z 6 21 3 0.0
z 6 22 0 0.0
z 6 22 1 0.0
z 6 22 2 0.0
z 6 22 3 0.0
z 6 23 0 0.0
z 6 23 1 0.0
z 6 23 2 0.0
z 6 23 3 0.0
z 6 24 0 0.0
z 6 24 1 0.0
z 6 24 2 0.0
z 6 24 3 0.0
z 6 25 0 0.0
z 6 25 1 0.0
z 6 25 2 0.0
z 6 25 3 0.0
z 6 26 0 0.0
z 6 26 1 0.0
z 6 26 2 0.0
z 6 26 3 0.0
z 6 27 0 0.0
z 6 27 1 0.0
z 6 27 2 0.0
z 6 27 3 0.0
z 6 28 0 0.0
z 6 28 1 0.0
z 6 28 2 0.0
z 6 28 3 0.0
z 6 29 0 0.0
z 6 29 1 0.0
z 6 29 2 0.0
z 6 29 3 0.0
z 6 30 0 0.0
z 6 30 1 0.0
z 6 30 2 0.0
z 6 30 3 0.0
z 6 31 0 0.0
z 6 31 1 0.0
z 6 31 2 0.0
z 6 31 3 0.0
z 6 32 0 0.0
z 6 32 1 0.0
z 6 32 2 0.0
z 6 32 3 0.0
z 6 33 0 0.0
z 6 33 1 0.0
z 6 33 2 0.0
z 6 33 3 0.0
z 6 34 0 0.0
z 6 34 1 0.0
z 6 34 2 0.0
z 6 34 3 0.0
z 6 35 0 0.0
z 6 35 1 0.0
z 6 35 2 0.0
z 6 35 3 0.0
z 6 36 0 0.0
z 6 36 1 0.0
z 6 36 2 0.0
z 6 36 3 0.0
z 6 37 0 0.0
z 6 37 1 0.0
z 6 37 2 0.0
z 6 37 3 0.0
z 6 38 0 0.0
z 6 38 1 0.0
z 6 38 2 0.0
z 6 38 3 0.0
z 6 39 0 0.0
z 6 39 1 0.0
z 6 39 2 0.0
z 6 39 3 0.0
z 6 40 0 0.0
z 6 40 1 0.0
z 6 40 2 0.0
z 6 40 3 0.0
z 6 41 0 0.0
z 6 41 1 0.0
z 6 41 2 0.0
z 6 41 3 0.0
z 6 42 0 0.0
z 6 42 1 0.0
z 6 42 2 0.0
z 6 42 3 0.0
z 6 43 0 0.0
z 6 43 1 0.0
z 6 43 2 0.0
z 6 43 3 0.0
z 6 44 0 0.0
z 6 44 1 0.0
z 6 44 2 0.0
z 6 44 3 0.0
z 6 45 0 0.0
z 6 45 1 0.0
z 6 45 2 0.0
z 6 45 3 0.0
z 6 46 0 0.0
z 6 46 1 0.0
z 6 46 2 0.0
z 6 46 3 0.0
z 6 47 0 0.0
z 6 47 1 0.0
z 6 47 2 0.0
z 6 47 3 0.0
z 6 48 0 0.0
z 6 48 1 0.0
z 6 48 2 0.0
z 6 48 3 0.0
z 6 49 0 0.0
z 6 49 1 0.0
z 6 49 2 0.0
z 6 49 3 0.0
z 7 0 0 0.0
z 7 0 1 0.0
z 7 0 2 0.0
z 7 0 3 0.0
z 7 1 0 0.0
z 7 1 1 0.0
z 7 1 2 0.0
z 7 1 3 0.0
z 7 2 0 0.0
z 7 2 1 0.0
z 7 2 2 0.0
z 7 2 3 0.0
z 7 3 0 0.0
z 7 3 1 0.0
z 7 3 2 0.0
z 7 3 3 0.0
z 7 4 0 0.0
z 7 4 1 0.0
z 7 4 2 0.0
z 7 4 3 0.0
z 7 5 0 0.0
z 7 5 1 0.0
z 7 5 2 0.0
z 7 5 3 0.0
z 7 6 0 0.0
z 7 6 1 0.0
z 7 6 2 0.0
z 7 6 3 0.0
z 7 7 0 0.0
z 7 7 1 0.0
z 7 7 2 0.0
z 7 7 3 0.0
z 7 8 0 0.0
z 7 8 1 0.0
z 7 8 2 0.0
z 7 8 3 0.0
z 7 9 0 0.0
z 7 9 1 0.0
z 7 9 2 0.0
z 7 9 3 0.0
z 7 10 0 0.0
z 7 10 1 0.0
z 7 10 2 0.0
z 7 10 3 0.0
z 7 11 0 0.0
z 7 11 1 0.0
z 7 11 2 0.0
z 7 11 3 0.0
z 7 12 0 0.0
z 7 12 1 0.0
z 7 12 2 0.0
z 7 12 3 0.0
z 7 13 0 0.0
z 7 13 1 0.0
z 7 13 2 0.0
z 7 13 3 0.0
z 7 14 0 0.0
z 7 14 1 0.0
z 7 14 2 0.0
z 7 14 3 0.0
z 7 15 0 0.0
z 7 15 1 0.0
z 7 15 2 0.0
z 7 15 3 0.0
z 7 16 0 0.0
z 7 16 1 0.0
z 7 16 2 0.0
z 7 16 3 0.0
z 7 17 0 0.0
z 7 17 1 0.0
z 7 17 2 0.0
z 7 17 3 0.0
